sample,PHLDA3,study,stype,site,disease
GTEX-13NYB-0726-SM-5MR4J,10.06,GTEX,Normal Tissue,Thyroid,Thyroid
GTEX-ZYVF-2526-SM-5E45C,11.9,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
TCGA-D7-A4Z0-01,10.33,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-24-2293-01,12.14,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13FHP-0011-R7b-SM-5LZYI,10.32,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TCGA-44-6146-11,10.18,TCGA,Solid Tissue Normal,Lung,Lung Adenocarcinoma
TCGA-QK-A64Z-01,12.83,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-2J-AABI-01,12.77,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-AC-A2FK-01,10.78,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TARGET-20-PAEFGT-04,7.726,TARGET,Recurrent Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
GTEX-WI4N-1126-SM-3LK7Q,11.71,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-N7MT-1126-SM-2YUNQ,11.67,GTEX,Normal Tissue,Brain,Brain - Cortex
TCGA-29-A5NZ-01,9.959,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-CG-4462-01,10.83,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
GTEX-147F4-1226-SM-5NQAY,10.7,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
TCGA-HC-8265-01,9.392,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-ZE7O-1526-SM-5J1NH,11.24,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TCGA-DV-A4W0-05,10.73,TCGA,Additional - New Primary,Kidney,Kidney Clear Cell Carcinoma
TCGA-DD-AAVZ-01,10.25,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-E9-A1RF-11,11.87,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
GTEX-13OVL-2726-SM-5J2MP,12.41,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
K-562-SM-5P9EQ,0.7523,GTEX,Cell Line,Bone Marrow,Cells - Leukemia Cell Line (Cml)
GTEX-OIZH-0326-SM-2HMKC,10.23,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-XYKS-2726-SM-4E3IC,12.55,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
GTEX-P4QT-0008-SM-48TDZ,11.45,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-DJ-A13R-01,11.32,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-DD-A116-11,9.461,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-E9-A1R4-01,9.863,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-3U-A98F-01,11.06,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
TCGA-C5-A1MF-01,13.14,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-77-8145-01,12.14,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-13N2G-2226-SM-5IJCU,12.86,GTEX,Normal Tissue,Colon,Colon - Sigmoid
TCGA-LL-A740-01,11.8,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-F5-6863-01,10.19,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
TCGA-06-2565-01,10.8,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
TCGA-33-AASD-01,12.47,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-ET-A3BS-01,10.34,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-13112-0011-R7b-SM-5DUVW,10.82,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TCGA-DM-A1D4-01,7.556,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-JY-A938-01,10.45,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TCGA-29-1768-01,10.9,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13N11-0526-SM-5IJFI,9.169,GTEX,Normal Tissue,Ovary,Ovary
GTEX-ZEX8-0426-SM-4WWEN,9.638,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-Q2AG-0011-R3A-SM-2HMJ9,10.33,GTEX,Normal Tissue,Brain,Brain - Anterior Cingulate Cortex (Ba24)
GTEX-11DXW-1026-SM-5H11K,9.325,GTEX,Normal Tissue,Brain,Brain - Cerebellum
GTEX-13N2G-0011-R4b-SM-5MR54,11.02,GTEX,Normal Tissue,Brain,Brain - Amygdala
TCGA-IQ-A61O-01,12.31,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-92-8063-01,11.64,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-145LV-0226-SM-5S2QG,10.84,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
TCGA-EL-A3T1-01,11.85,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-13O1R-2326-SM-5IJF9,10.92,GTEX,Normal Tissue,Adrenal Gland,Adrenal Gland
TCGA-ED-A627-01,9.786,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
GTEX-XXEK-1026-SM-4BRUW,9.487,GTEX,Normal Tissue,Small Intestine,Small Intestine - Terminal Ileum
TCGA-N6-A4VC-01,11.44,TCGA,Primary Tumor,Uterus,Uterine Carcinosarcoma
TCGA-39-5028-01,11.5,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-X88G-0006-SM-47JX5,6.472,GTEX,Normal Tissue,Blood,Whole Blood
GTEX-ZT9X-0008-SM-4YCD7,11.36,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-C8-A3M8-01,11.94,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-BJ-A0ZF-01,11.98,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-BH-A0BM-01,10.78,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-AB-2914-03,5.3,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TCGA-ER-A19S-06,11.73,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-RY-A83X-01,10.86,TCGA,Primary Tumor,Brain,Brain Lower Grade Glioma
TCGA-DM-A0X9-01,10.94,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-KK-A8I5-01,9.951,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-AN-A0XW-01,11.1,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-55-A4DG-01,11.04,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-1445S-0011-R7b-SM-5PNUG,11.25,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TARGET-50-PAJNTJ-02,9.792,TARGET,Recurrent Solid Tumor,Kidney,Wilms Tumor
TCGA-RW-A684-01,11.47,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
GTEX-ZUA1-0011-R7b-SM-4YCDP,10.47,GTEX,Normal Tissue,Brain,Brain - Putamen (Basal Ganglia)
TCGA-BJ-A45C-01,11.12,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-ET-A2N4-01,11.43,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-BJ-A28X-11,9.635,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
TCGA-DX-AB2Q-01,9.519,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
GTEX-1399U-1526-SM-5J2N7,11.01,GTEX,Normal Tissue,Vagina,Vagina
TCGA-CV-7091-11,11.54,TCGA,Solid Tissue Normal,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-EE-A3AB-06,12.61,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
TCGA-24-1426-01,12.0,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-13FH7-2126-SM-5L3DJ,10.46,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
K-562-SM-32PMP,2.129,GTEX,Cell Line,Bone Marrow,Cells - Leukemia Cell Line (Cml)
TCGA-DD-A11B-11,9.382,TCGA,Solid Tissue Normal,Liver,Liver Hepatocellular Carcinoma
TCGA-78-7146-01,10.59,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-06-2561-01,10.57,TCGA,Primary Tumor,Brain,Glioblastoma Multiforme
GTEX-11DXX-0008-SM-5Q5B8,11.51,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
GTEX-PX3G-1626-SM-2S1PT,10.99,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-EJ-7125-11,10.91,TCGA,Solid Tissue Normal,Prostate,Prostate Adenocarcinoma
TCGA-IN-8663-01,11.75,TCGA,Primary Tumor,Stomach,Stomach Adenocarcinoma
TCGA-ZG-A9M4-01,10.99,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-ZJ-A8QQ-01,11.72,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
TCGA-37-4133-01,11.82,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-UJMC-1326-SM-4IHLS,9.995,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-77-8146-01,12.21,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-RL-AAAS-01,11.58,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-2G-AAHN-01,13.66,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
TCGA-L9-A5IP-01,9.771,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-CJ-5672-01,11.41,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TARGET-21-PATISD-09,5.804,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,"Acute Myeloid Leukemia, Induction Failure Subproject"
TCGA-WB-A819-01,10.93,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-DD-AACW-01,8.857,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-CQ-5327-01,12.42,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-XAJ8-1126-SM-47JYA,12.97,GTEX,Normal Tissue,Nerve,Nerve - Tibial
TCGA-E2-A1LL-01,9.74,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-13O1R-0126-SM-5L3EH,10.94,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-FD-A3SR-01,10.56,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-13NZ9-0826-SM-5J1NI,11.55,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-KK-A8II-01,7.83,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
GTEX-13FLV-1226-SM-5IJBZ,11.68,GTEX,Normal Tissue,Esophagus,Esophagus - Muscularis
TCGA-B0-4700-11,8.619,TCGA,Solid Tissue Normal,Kidney,Kidney Clear Cell Carcinoma
GTEX-WHPG-0326-SM-4M1XV,9.017,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-24-1435-01,10.77,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-14DAQ-2526-SM-5RQIO,10.82,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
GTEX-ZT9W-1426-SM-4YCD2,11.34,GTEX,Normal Tissue,Esophagus,Esophagus - Gastroesophageal Junction
TCGA-BH-A18K-01,10.84,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-BH-A28O-01,11.68,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-55-6712-01,11.11,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-XV-AAZW-01,12.36,TCGA,Primary Tumor,Skin,Skin Cutaneous Melanoma
TCGA-F2-7276-01,10.67,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-BJ-A0Z2-01,10.44,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-DK-A6B0-01,12.63,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-139T4-0011-R9b-SM-5HL6S,12.11,GTEX,Normal Tissue,Brain,Brain - Spinal Cord (Cervical C-1)
GTEX-X261-0011-R10B-SM-4E3JT,10.82,GTEX,Normal Tissue,Brain,Brain - Frontal Cortex (Ba9)
TCGA-B0-4846-01,9.593,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-ET-A2N0-01,12.48,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-34-7107-11,11.25,TCGA,Solid Tissue Normal,Lung,Lung Squamous Cell Carcinoma
TCGA-BJ-A290-11,10.32,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
GTEX-QV44-2226-SM-447A3,11.28,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
TCGA-FB-A7DR-01,12.0,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
TCGA-YB-A89D-01,11.85,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-ZF2S-1526-SM-5S2OO,13.49,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
TARGET-10-PARXMC-04,3.264,TARGET,Recurrent Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-CH-5752-01,8.964,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-77-7142-01,9.842,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-WHSE-0426-SM-4M1XO,9.025,GTEX,Normal Tissue,Testis,Testis
TCGA-CR-7374-01,11.22,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-KS-A4I1-01,13.04,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-60-2719-01,10.48,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
TCGA-VR-A8Q7-01,11.15,TCGA,Primary Tumor,Esophagus,Esophageal Carcinoma
TARGET-30-PANXJL-01,12.39,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-Q734-1626-SM-48U1B,11.42,GTEX,Normal Tissue,Uterus,Uterus
TCGA-A7-A4SC-01,11.1,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-RN64-2326-SM-48FDW,9.45,GTEX,Normal Tissue,Testis,Testis
GTEX-12696-1126-SM-5FQTI,10.12,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-13O61-0126-SM-5KM4P,10.32,GTEX,Normal Tissue,Adrenal Gland,Adrenal Gland
GTEX-13OVL-0226-SM-5L3E9,11.5,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-13PVR-2326-SM-5QGR1,11.22,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-YU-A90Y-01,11.88,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
TCGA-A7-A13F-11,11.12,TCGA,Solid Tissue Normal,Breast,Breast Invasive Carcinoma
TCGA-ET-A2MX-11,8.576,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
TCGA-FD-A5BS-01,11.36,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-YF7O-2426-SM-5IFJL,13.58,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-85-8351-01,11.46,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-13FH7-1226-SM-5IJFK,8.508,GTEX,Normal Tissue,Small Intestine,Small Intestine - Terminal Ileum
GTEX-132AR-2726-SM-5PNVN,7.629,GTEX,Normal Tissue,Colon,Colon - Transverse
GTEX-ZXG5-0326-SM-5GICH,11.38,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-A8-A08O-01,10.04,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-14E7W-0526-SM-5S2W8,11.72,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-WXYG-0826-SM-4ONC7,10.5,GTEX,Normal Tissue,Pancreas,Pancreas
TCGA-J7-6720-01,11.06,TCGA,Primary Tumor,Kidney,Kidney Papillary Cell Carcinoma
GTEX-Q2AG-0005-SM-5SI7F,5.525,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-E9-A24A-01,10.17,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TARGET-30-PARYNK-01,9.7,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
GTEX-XMK1-2626-SM-4B65R,11.3,GTEX,Normal Tissue,Salivary Gland,Minor Salivary Gland
TCGA-49-AARE-01,11.29,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-BC-4073-01,7.745,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TCGA-AC-A6IV-01,11.44,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
GTEX-12WSL-2426-SM-5GCN7,11.36,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TARGET-30-PAPTDH-01,9.135,TARGET,Primary Solid Tumor,Sympathetic�Nervous System,Neuroblastoma
TCGA-DK-A1AD-01,12.13,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-B6-A400-01,11.01,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-EM-A2OW-01,9.665,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
GTEX-NPJ7-0011-R11A-SM-2I3E8,8.921,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
GTEX-X585-0011-R5A-SM-46MVI,10.88,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
TCGA-XF-AAMQ-01,11.45,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-BB-A5HY-01,12.45,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-AG-3742-01,8.891,TCGA,Primary Tumor,Rectum,Rectum Adenocarcinoma
TCGA-WB-A816-01,10.84,TCGA,Primary Tumor,Paraganglia,Pheochromocytoma & Paraganglioma
TCGA-EA-A410-01,11.54,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
GTEX-POYW-1226-SM-5LU5O,11.08,GTEX,Normal Tissue,Lung,Lung
TARGET-10-PANJPG-09,5.247,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
GTEX-13OW6-0526-SM-5L3HY,11.82,GTEX,Normal Tissue,Adipose Tissue,Adipose - Subcutaneous
TCGA-EM-A1CS-01,10.89,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TARGET-50-CAAAAC-01,10.54,TARGET,Primary Solid Tumor,Kidney,Wilms Tumor
GTEX-13NYB-0011-R1b-SM-5KM4F,11.16,GTEX,Normal Tissue,Brain,Brain - Hippocampus
GTEX-13NYB-0011-R5a-SM-5MR45,11.38,GTEX,Normal Tissue,Brain,Brain - Caudate (Basal Ganglia)
TCGA-B0-5075-01,10.47,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-W3-AA1R-06,10.6,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-U8T8-0326-SM-3DB93,11.22,GTEX,Normal Tissue,Blood Vessel,Artery - Tibial
GTEX-Z93S-0005-SM-4RGLW,7.101,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-P3-A6T0-01,12.14,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-13-0899-01,12.78,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-AY-A8YK-01,7.632,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-QA-A7B7-01,5.863,TCGA,Primary Tumor,Liver,Liver Hepatocellular Carcinoma
TARGET-20-PATDHA-09,2.458,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-DA-A1IC-06,10.57,TCGA,Metastatic,Skin,Skin Cutaneous Melanoma
GTEX-ZYFC-2626-SM-5NQ6S,12.6,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-A5-AB3J-01,11.57,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TCGA-50-8460-01,12.21,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-117YW-0526-SM-5H11C,11.08,GTEX,Normal Tissue,Lung,Lung
TCGA-CV-7440-11,11.44,TCGA,Solid Tissue Normal,Head and Neck region,Head & Neck Squamous Cell Carcinoma
GTEX-U4B1-1826-SM-4DXSU,10.33,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
TCGA-PG-A917-01,10.84,TCGA,Primary Tumor,Endometrium,Uterine Corpus Endometrioid Carcinoma
TARGET-20-PATJHJ-09,6.451,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-IB-7889-01,11.73,TCGA,Primary Tumor,Pancreas,Pancreatic Adenocarcinoma
GTEX-13FTY-2126-SM-5IFFB,11.64,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
TCGA-LL-A441-01,10.59,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-KL-8324-11,9.314,TCGA,Solid Tissue Normal,Kidney,Kidney Chromophobe
TCGA-EM-A3SY-01,10.04,TCGA,Primary Tumor,Thyroid Gland,Thyroid Carcinoma
TCGA-FF-A7CW-01,9.026,TCGA,Primary Tumor,Lymphatic tissue,Diffuse Large B-Cell Lymphoma
TCGA-ZG-A9L1-01,9.73,TCGA,Primary Tumor,Prostate,Prostate Adenocarcinoma
TCGA-V5-AASX-11,7.813,TCGA,Solid Tissue Normal,Esophagus,Esophageal Carcinoma
TCGA-CN-5361-01,12.37,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
TCGA-AB-2967-03,6.258,TCGA,Primary Blood Derived Cancer - Peripheral Blood,White blood cell,Acute Myeloid Leukemia
TARGET-20-PASHBI-09,5.38,TARGET,Primary Blood Derived Cancer - Bone Marrow,White blood cell,Acute Myeloid Leukemia
TCGA-EX-A3L1-01,12.54,TCGA,Primary Tumor,Cervix,Cervical & Endocervical Cancer
GTEX-145MN-1526-SM-5SI9T,10.74,GTEX,Normal Tissue,Skin,Skin - Not Sun Exposed (Suprapubic)
GTEX-T5JC-0626-SM-3NMA6,11.04,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-50-5933-01,11.35,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
TCGA-FT-A3EE-01,12.85,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
GTEX-13N1W-0011-R11a-SM-5MR3D,8.286,GTEX,Normal Tissue,Brain,Brain - Cerebellar Hemisphere
TCGA-IE-A4EH-01,12.34,TCGA,Primary Tumor,"Soft tissue,Bone",Sarcoma
TCGA-A2-A04Y-01,12.19,TCGA,Primary Tumor,Breast,Breast Invasive Carcinoma
TCGA-43-3394-01,10.72,TCGA,Primary Tumor,Lung,Lung Squamous Cell Carcinoma
GTEX-12ZZX-2126-SM-5LZVL,11.58,GTEX,Normal Tissue,Uterus,Uterus
TCGA-ZF-AA4T-01,11.46,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-MQ-A6BQ-01,12.18,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
GTEX-WFON-0126-SM-4LVM9,8.406,GTEX,Normal Tissue,Spleen,Spleen
GTEX-139TU-0526-SM-5J2M8,11.82,GTEX,Normal Tissue,Muscle,Muscle - Skeletal
TCGA-AU-6004-01,9.47,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-F4-6806-01,10.95,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-29-1769-01,11.75,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
TCGA-78-7155-01,7.225,TCGA,Primary Tumor,Lung,Lung Adenocarcinoma
GTEX-S3XE-1326-SM-4AD4H,10.62,GTEX,Normal Tissue,Prostate,Prostate
TCGA-2G-AAM4-01,12.99,TCGA,Primary Tumor,Testis,Testicular Germ Cell Tumor
GTEX-RM2N-1426-SM-2TF4H,10.62,GTEX,Normal Tissue,Skin,Skin - Sun Exposed (Lower Leg)
GTEX-13OVK-0006-SM-5O9B7,5.422,GTEX,Normal Tissue,Blood,Whole Blood
TCGA-CJ-4899-01,9.993,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-E7-A3X6-01,13.27,TCGA,Primary Tumor,Bladder,Bladder Urothelial Carcinoma
TCGA-5M-AAT4-01,8.367,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
GTEX-11NUK-2026-SM-5PNVZ,10.81,GTEX,Normal Tissue,Adipose Tissue,Adipose - Visceral (Omentum)
GTEX-13RTJ-2826-SM-5QGQH,13.09,GTEX,Normal Tissue,Nerve,Nerve - Tibial
GTEX-ZT9W-1626-SM-4YCDQ,10.98,GTEX,Normal Tissue,Prostate,Prostate
TCGA-EL-A3ZK-11,9.156,TCGA,Solid Tissue Normal,Thyroid Gland,Thyroid Carcinoma
GTEX-WK11-0626-SM-3NMAV,9.906,GTEX,Normal Tissue,Heart,Heart - Atrial Appendage
TCGA-24-1474-01,8.628,TCGA,Primary Tumor,Ovary,Ovarian Serous Cystadenocarcinoma
GTEX-R55G-0726-SM-2TC6J,9.49,GTEX,Normal Tissue,Thyroid,Thyroid
TARGET-10-PANYYV-04,5.865,TARGET,Recurrent Blood Derived Cancer - Bone Marrow,White blood cell,Acute Lymphoblastic Leukemia
TCGA-3H-AB3U-01,12.14,TCGA,Primary Tumor,Lining of body cavities,Mesothelioma
GTEX-11EQ9-1226-SM-5987E,10.69,GTEX,Normal Tissue,Stomach,Stomach
GTEX-13NYB-0226-SM-5N9G4,10.55,GTEX,Normal Tissue,Heart,Heart - Left Ventricle
GTEX-11DXX-1826-SM-5H126,9.16,GTEX,Normal Tissue,Colon,Colon - Transverse
TCGA-CM-6167-01,11.31,TCGA,Primary Tumor,Colon,Colon Adenocarcinoma
TCGA-14-0736-02,11.09,TCGA,Recurrent Tumor,Brain,Glioblastoma Multiforme
GTEX-REY6-0126-SM-48FDT,9.431,GTEX,Normal Tissue,Testis,Testis
GTEX-ZAB4-0008-SM-4RGM6,12.49,GTEX,Cell Line,Skin,Cells - Transformed Fibroblasts
TCGA-CW-5590-01,11.56,TCGA,Primary Tumor,Kidney,Kidney Clear Cell Carcinoma
TCGA-CR-7370-01,10.9,TCGA,Primary Tumor,Head and Neck region,Head & Neck Squamous Cell Carcinoma
