sample,grp,celltype,PHLDA3,p53
PTC01,PTC,Malignant cell,0.0,0.3652038568612393
PTC01,PTC,Myeloid cell,0.0,0.0
PTC01,PTC,Malignant cell,1.5506874619384676,0.0
PTC01,PTC,Malignant cell,0.0,0.3518361717314414
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.3230325651443071
PTC01,PTC,Malignant cell,0.0,0.263650579054406
PTC01,PTC,Endothelial cell,1.3031749861241557,0.27799103665044733
PTC01,PTC,Myeloid cell,0.0,0.12082150982329479
PTC01,PTC,Endothelial cell,0.0,0.28712456223331834
PTC01,PTC,Malignant cell,0.0,0.05646299396735629
PTC01,PTC,Malignant cell,0.0,0.11973288688142827
PTC01,PTC,Malignant cell,0.0,0.3715149532645313
PTC01,PTC,Malignant cell,0.0,0.21255870001202307
PTC01,PTC,Malignant cell,0.0,0.24409748428506425
PTC01,PTC,Malignant cell,0.0,0.45205070141922654
PTC01,PTC,Malignant cell,0.0,0.4474165768327734
PTC01,PTC,Malignant cell,0.0,0.4870090905523068
PTC01,PTC,Malignant cell,0.0,0.2582236506750946
PTC01,PTC,Malignant cell,1.0940553635591543,0.2598985425273758
PTC01,PTC,Myeloid cell,0.0,0.39554480806847764
PTC01,PTC,Malignant cell,0.8541109750428562,0.4741877702372909
PTC01,PTC,Malignant cell,0.0,0.5491732915163041
PTC01,PTC,Myeloid cell,0.0,0.08186787157104373
PTC01,PTC,Myeloid cell,0.8806342806547954,0.3372557926225466
PTC01,PTC,Malignant cell,0.0,0.16843436404931256
PTC01,PTC,T cell,0.0,0.11799496179548535
PTC01,PTC,Malignant cell,1.1636735705444983,0.4151528463887895
PTC01,PTC,Myeloid cell,0.0,0.11448651072576833
PTC01,PTC,Malignant cell,0.9832314182033174,0.32712665428851473
PTC01,PTC,Malignant cell,0.7656925624439965,0.37264635801562657
PTC01,PTC,Malignant cell,0.0,0.2514145123295143
PTC01,PTC,Malignant cell,0.604342047247848,0.3711419157094424
PTC01,PTC,NK cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.16087777480119894
PTC01,PTC,Malignant cell,0.0,0.429541591936256
PTC01,PTC,Fibroblast,0.0,0.21449671249072008
PTC01,PTC,Malignant cell,0.8512025452219536,0.5431556960739048
PTC01,PTC,Malignant cell,0.5764258764047371,0.43406149826826
PTC01,PTC,T cell,0.0,0.23156587966150072
PTC01,PTC,Malignant cell,0.7182062075588584,0.5421222469001736
PTC01,PTC,Malignant cell,0.0,0.1255519991949608
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.28004895527645807
PTC01,PTC,Myeloid cell,0.0,0.26181239852957405
PTC01,PTC,Myeloid cell,0.0,0.38223990520408013
PTC01,PTC,Malignant cell,0.0,0.2518221386355824
PTC01,PTC,Malignant cell,0.0,0.12272373259421904
PTC01,PTC,Malignant cell,0.0,0.3637071394403685
PTC01,PTC,Malignant cell,0.0,0.07335661397523946
PTC01,PTC,Malignant cell,0.0,0.0
PTC01,PTC,Malignant cell,0.0,0.36237591960697146
